FPR,TPR,Threshold
0.0,0.0,inf
2.439009518234645e-05,0.4290272152998071,1.0
2.439009518234645e-05,0.4789691645259492,0.9999999
2.439009518234645e-05,0.5036156033166647,0.99999976
2.439009518234645e-05,0.519595564372366,0.99999964
2.439009518234645e-05,0.5314434073518791,0.9999995
2.439009518234645e-05,0.5415360143344273,0.9999994
2.439009518234645e-05,0.5495259948622779,0.9999993
2.439009518234645e-05,0.5566901612318343,0.99999917
2.439009518234645e-05,0.5630132770195118,0.99999905
2.439009518234645e-05,0.5681418571981436,0.9999989
2.439009518234645e-05,0.5731881606894177,0.9999988
2.439009518234645e-05,0.577768229618998,0.9999987
2.439009518234645e-05,0.5820191917991474,0.99999857
2.439009518234645e-05,0.5857612574315656,0.99999845
2.439009518234645e-05,0.5893722898211549,0.99999833
2.439009518234645e-05,0.5927151611556523,0.9999982
2.439009518234645e-05,0.5956649327616628,0.9999981
2.439009518234645e-05,0.5986969810550309,0.999998
2.439009518234645e-05,0.6015248612723633,0.99999785
2.439009518234645e-05,0.6041790462608293,0.99999774
2.439009518234645e-05,0.6067326708536359,0.9999976
2.439009518234645e-05,0.6091278366411609,0.9999975
2.439009518234645e-05,0.6114742458732146,0.9999974
2.439009518234645e-05,0.6137079055707412,0.99999726
2.439009518234645e-05,0.6158501467267591,0.99999714
2.439009518234645e-05,0.6176267137167427,0.999997
2.439009518234645e-05,0.6193606187206889,0.9999969
2.439009518234645e-05,0.6212682189535015,0.9999968
2.439009518234645e-05,0.6231697246168801,0.99999666
2.439009518234645e-05,0.6248183056487516,0.99999654
2.439009518234645e-05,0.6264425084028876,0.9999964
2.439009518234645e-05,0.6281307041360795,0.9999963
2.439009518234645e-05,0.6298981292719122,0.9999962
2.439009518234645e-05,0.6314491971928413,0.99999607
2.439009518234645e-05,0.6329210357111296,0.99999595
2.439009518234645e-05,0.6342740301254567,0.9999958
2.439009518234645e-05,0.6355935044078973,0.9999957
2.439009518234645e-05,0.6369647825305261,0.9999956
2.439009518234645e-05,0.6382568312505142,0.99999547
2.439009518234645e-05,0.6395519272552193,0.99999535
2.439009518234645e-05,0.6408714015376599,0.99999523
2.439009518234645e-05,0.6419714713204799,0.9999951
2.439009518234645e-05,0.6432909456029205,0.999995
2.439009518234645e-05,0.6445129067744186,0.9999949
2.439009518234645e-05,0.6457287733764829,0.99999475
2.439009518234645e-05,0.64676180289553,0.99999464
2.439009518234645e-05,0.6478771091019347,0.9999945
2.439009518234645e-05,0.6490015571624904,0.9999944
2.439009518234645e-05,0.6499431681400288,0.9999943
2.439009518234645e-05,0.6509579139507742,0.99999416
2.439009518234645e-05,0.6519787543309534,0.99999404
2.439009518234645e-05,0.6528959870307562,0.9999939
2.439009518234645e-05,0.6538558817165965,0.9999938
2.439009518234645e-05,0.6547487361386637,0.9999937
2.439009518234645e-05,0.6556385432760139,0.99999356
2.439009518234645e-05,0.6566136743854388,0.99999344
2.439009518234645e-05,0.6575309070852416,0.9999933
2.439009518234645e-05,0.6583810995212716,0.9999932
2.439009518234645e-05,0.6591642516935284,0.9999931
2.439009518234645e-05,0.6599352147269176,0.99999297
2.439009518234645e-05,0.6607671234546457,0.99999285
2.439009518234645e-05,0.6615380864880348,0.9999927
2.439009518234645e-05,0.6623821843546308,0.9999926
2.439009518234645e-05,0.6631775256657555,0.9999925
2.439009518234645e-05,0.6638936375742395,0.9999924
2.439009518234645e-05,0.6646767897464964,0.99999225
2.439009518234645e-05,0.6654325163563007,0.99999213
2.439009518234645e-05,0.666252235945161,0.999992
2.439009518234645e-05,0.6670536718257197,0.9999919
2.439009518234645e-05,0.6677149326092985,0.9999918
2.439009518234645e-05,0.6683335314068399,0.99999166
2.439009518234645e-05,0.6690313596070222,0.99999154
2.439009518234645e-05,0.669756613369657,0.9999914
2.439009518234645e-05,0.6704879617017256,0.9999913
2.439009518234645e-05,0.6710669457979468,0.9999912
2.439009518234645e-05,0.6717921995605816,0.99999106
2.439009518234645e-05,0.6724382239205756,0.99999094
2.439009518234645e-05,0.6731330048360409,0.9999908
2.439009518234645e-05,0.6737089416475449,0.9999907
2.439009518234645e-05,0.6743458241533882,0.9999906
2.439009518234645e-05,0.6749400446731939,0.99999046
2.439009518234645e-05,0.6756134945956406,0.99999034
2.439009518234645e-05,0.6761772422682768,0.9999902
2.439009518234645e-05,0.6767866992116675,0.9999901
2.439009518234645e-05,0.677335210460719,0.99999
2.439009518234645e-05,0.6778684852861857,0.99998987
2.439009518234645e-05,0.6784962259378781,0.99998975
2.439009518234645e-05,0.6792275742699467,0.9999896
2.439009518234645e-05,0.6796694305539049,0.9999895
2.439009518234645e-05,0.6802179418029565,0.9999894
2.439009518234645e-05,0.6807420747742724,0.9999893
2.439009518234645e-05,0.6812875387386069,0.99998915
2.439009518234645e-05,0.6817933880016211,0.99998903
2.439009518234645e-05,0.6823784666672761,0.9999889
2.439009518234645e-05,0.6829544034787802,0.9999888
2.439009518234645e-05,0.6834602527417944,0.9999887
2.439009518234645e-05,0.6839386764423561,0.99998856
2.439009518234645e-05,0.6844414784206533,0.99998844
2.439009518234645e-05,0.6849381858295166,0.9999883
2.439009518234645e-05,0.6854105149606443,0.9999882
2.439009518234645e-05,0.685943789786111,0.9999881
2.439009518234645e-05,0.6863643150770506,0.99998796
2.439009518234645e-05,0.6868823534789326,0.99998784
2.439009518234645e-05,0.6872967842004382,0.9999877
2.439009518234645e-05,0.6878178698870372,0.9999876
2.439009518234645e-05,0.6883115300111835,0.9999875
2.439009518234645e-05,0.6887503390104247,0.99998736
2.439009518234645e-05,0.6892104790026846,0.99998724
2.439009518234645e-05,0.6896675717102276,0.9999871
2.439009518234645e-05,0.690158184549657,0.999987
2.439009518234645e-05,0.6905756625558795,0.9999869
2.439009518234645e-05,0.6909687622843665,0.99998677
2.439009518234645e-05,0.6914106185683246,0.99998665
2.439009518234645e-05,0.6918585694217168,0.9999865
2.439009518234645e-05,0.6923126148445428,0.9999864
2.439009518234645e-05,0.6927148564271806,0.9999863
2.439009518234645e-05,0.693144523572271,0.9999862
2.439009518234645e-05,0.6935467651549088,0.99998605
2.439009518234645e-05,0.6939398648833957,0.99998593
2.439009518234645e-05,0.6943542956049013,0.9999858
2.439009518234645e-05,0.6947870100347086,0.9999857
2.439009518234645e-05,0.6951496369160259,0.9999856
2.439009518234645e-05,0.695536642075079,0.99998546
2.439009518234645e-05,0.6958809852480947,0.99998534
2.439009518234645e-05,0.6962679904071477,0.9999852
2.439009518234645e-05,0.6966306172884651,0.9999851
2.439009518234645e-05,0.69696581860733,0.999985
2.439009518234645e-05,0.6973832966135525,0.99998486
2.439009518234645e-05,0.697739828925436,0.99998474
2.439009518234645e-05,0.6981755906399603,0.9999846
2.439009518234645e-05,0.6985504066601455,0.9999845
2.439009518234645e-05,0.6989892156593867,0.9999844
2.439009518234645e-05,0.6994127882350432,0.99998426
2.439009518234645e-05,0.6997601786927758,0.99998415
2.439009518234645e-05,0.7002081295461678,0.999984
2.439009518234645e-05,0.7005707564274853,0.9999839
2.439009518234645e-05,0.7008998631769162,0.9999838
2.439009518234645e-05,0.7012563954887997,0.99998367
2.439009518234645e-05,0.7016098805159663,0.99998355
2.439009518234645e-05,0.7020547840846414,0.99998343
2.439009518234645e-05,0.7023473234174689,0.9999833
2.439009518234645e-05,0.7026459573197302,0.9999832
2.439009518234645e-05,0.7029598276455764,0.9999831
2.439009518234645e-05,0.7032767452561395,0.99998295
2.439009518234645e-05,0.7036576558457587,0.99998283
2.439009518234645e-05,0.703962384317454,0.9999827
2.439009518234645e-05,0.7043189166293374,0.9999826
2.439009518234645e-05,0.7046632598023531,0.9999825
2.439009518234645e-05,0.7049710355587654,0.99998236
2.439009518234645e-05,0.7053031895929133,0.99998224
2.439009518234645e-05,0.7056201072034763,0.9999821
2.439009518234645e-05,0.7059187411057377,0.999982
2.439009518234645e-05,0.7062326114315839,0.9999819
2.439009518234645e-05,0.7069883380413883,0.99998164
2.439009518234645e-05,0.7073052556519513,0.9999815
2.439009518234645e-05,0.7077532065053435,0.9999814
2.439009518234645e-05,0.708100596963076,0.9999813
2.439009518234645e-05,0.7083931362959035,0.99998116
2.439009518234645e-05,0.7086978647675989,0.99998105
2.439009518234645e-05,0.7089721203921246,0.9999809
2.439009518234645e-05,0.7092981798568385,0.9999808
2.439009518234645e-05,0.7096181447521186,0.9999807
2.439009518234645e-05,0.709855832960041,0.99998057
2.439009518234645e-05,0.7101544668623023,0.99998045
2.439009518234645e-05,0.7104774790422994,0.99998033
2.439009518234645e-05,0.710763923805693,0.9999802
2.439009518234645e-05,0.7110229430066339,0.9999801
2.439009518234645e-05,0.711275867638141,0.99998
2.439009518234645e-05,0.7115805961098364,0.99997985
2.439009518234645e-05,0.7118091424636078,0.99997973
2.439009518234645e-05,0.7120833980881336,0.9999796
2.439009518234645e-05,0.712382031990395,0.9999795
2.439009518234645e-05,0.7126532403302037,0.9999794
2.439009518234645e-05,0.7128726448298244,0.99997926
2.439009518234645e-05,0.7131834678709535,0.99997914
2.439009518234645e-05,0.7134302979330268,0.999979
