fold,epoch,train_loss,val_loss
0,1,0.3624006509780884,0.2730254828929901
0,2,0.2339783012866974,0.22470644116401672
0,3,0.20312343537807465,0.22313129901885986
0,4,0.18407410383224487,0.21036989986896515
0,5,0.17254319787025452,0.2191060185432434
0,6,0.16091421246528625,0.1935441941022873
0,7,0.17498329281806946,0.20306240022182465
0,8,0.1481708586215973,0.1845555603504181
0,9,0.13417662680149078,0.19714990258216858
0,10,0.12340892851352692,0.21042755246162415
0,11,0.11375761032104492,0.21431919932365417
1,1,0.3420896828174591,0.2573971748352051
1,2,0.22663947939872742,0.20423074066638947
1,3,0.19421783089637756,0.19147320091724396
1,4,0.17592795193195343,0.1950264722108841
1,5,0.16311077773571014,0.19065363705158234
1,6,0.15165074169635773,0.18395188450813293
1,7,0.14090780913829803,0.18976818025112152
1,8,0.12989047169685364,0.19710172712802887
1,9,0.11795874685049057,0.20205183327198029
2,1,0.3400416374206543,0.2592782974243164
2,2,0.22288767993450165,0.2580498158931732
2,3,0.1944883167743683,0.21162204444408417
2,4,0.17780835926532745,0.20424234867095947
2,5,0.16512936353683472,0.19772636890411377
2,6,0.1543530970811844,0.21464112401008606
2,7,0.14289796352386475,0.19585846364498138
2,8,0.13160191476345062,0.19465871155261993
2,9,0.11720742285251617,0.19907423853874207
2,10,0.10251695662736893,0.21419021487236023
2,11,0.08650347590446472,0.23380175232887268
3,1,0.3325795531272888,0.24623146653175354
3,2,0.22405187785625458,0.2215651124715805
3,3,0.1928097903728485,0.20262214541435242
3,4,0.17672935128211975,0.19133438169956207
3,5,0.16496354341506958,5.458086013793945
3,6,0.15359356999397278,0.19337637722492218
3,7,0.1439361274242401,0.20533423125743866
4,1,0.34908315539360046,0.43174949288368225
4,2,0.23151063919067383,0.20874623954296112
4,3,0.199223592877388,0.19082017242908478
4,4,0.18274635076522827,0.18761570751667023
4,5,0.16980689764022827,0.19115754961967468
4,6,0.1666991263628006,0.18755488097667694
4,7,0.15163852274417877,0.18185406923294067
4,8,0.14145563542842865,0.526289701461792
4,9,0.12900501489639282,0.2145058512687683
4,10,0.123277947306633,0.20469844341278076
