fold,epoch,train_loss,val_loss
0,1,0.3139752745628357,0.24310116469860077
0,2,0.2181197702884674,0.22736284136772156
0,3,0.1946428269147873,0.19388441741466522
0,4,0.1732914000749588,0.18258966505527496
0,5,0.1574123650789261,0.2115131914615631
0,6,0.14122731983661652,0.20426248013973236
0,7,0.12539169192314148,0.21487700939178467
1,1,0.32230207324028015,0.21816647052764893
1,2,0.21177110075950623,0.2035530060529709
1,3,0.18627338111400604,0.18927693367004395
1,4,0.17083056271076202,0.18432265520095825
1,5,0.1567770093679428,0.18211255967617035
1,6,0.14377562701702118,0.19818253815174103
1,7,0.12863104045391083,0.19660118222236633
1,8,0.11386004090309143,0.20222721993923187
2,1,0.3210461735725403,0.26017239689826965
2,2,0.21840322017669678,0.20608879625797272
2,3,0.18954741954803467,0.20401424169540405
2,4,0.17334838211536407,0.19016191363334656
2,5,0.16044937074184418,0.1962943822145462
2,6,0.15539544820785522,0.19399908185005188
2,7,0.13615937530994415,0.20129407942295074
3,1,0.3344244360923767,0.23216864466667175
3,2,0.22264501452445984,0.22800453007221222
3,3,0.19538100063800812,0.19878697395324707
3,4,0.17604754865169525,0.20132122933864594
3,5,0.16147281229496002,0.1936277151107788
3,6,0.1554872691631317,0.19327829778194427
3,7,0.1367521435022354,0.1973741501569748
3,8,0.11935865879058838,0.21313844621181488
3,9,0.10304508358240128,0.22924982011318207
4,1,0.33202874660491943,0.24463361501693726
4,2,0.2140360325574875,0.2031034529209137
4,3,0.1860886961221695,0.1836368888616562
4,4,0.17053502798080444,0.17959463596343994
4,5,0.15565326809883118,0.17923182249069214
4,6,0.14155294001102448,0.18262124061584473
4,7,0.12886609137058258,0.18963541090488434
4,8,0.11128075420856476,0.21200646460056305
